,class_name,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM,buggy
32,Region,3,0,0,0,0,0,0,0,4,19.0,17,0.0,0
33,CheckRegExp,3,4,23,1,10,4,0,1,1,13.333333333333334,30,2.3076923076923075,0
34,ControlFlowAnalysis,43,13,362,2,27,15,1,19,20,13.348837209302326,503,1.6655629139072847,1
35,NameReferenceGraphReport,9,1,107,1,29,6,0,4,11,18.11111111111111,447,6.04054054054054,0
36,AnalyzePrototypeProperties,44,34,238,1,24,21,0,5,29,13.136363636363637,563,3.2923976608187133,1
37,PeepholeFoldConstants,35,8,453,0,32,31,1,39,21,17.457142857142856,382,0.7290076335877863,1
38,AbstractCompiler,54,2,10,1,1,0,0,1,52,16.90740740740741,881,176.2,0
39,UseSite,2,3,3,0,1,0,0,1,1,7.0,29,5.8,0
40,RescopeGlobalSymbols,8,6,95,1,12,7,0,6,5,10.5,319,5.145161290322581,0
41,XtbMessageBundle,16,11,61,1,12,3,0,1,4,14.0,95,2.021276595744681,0
42,CoalesceVariableNames,15,10,163,2,18,14,0,4,5,11.8,174,1.6261682242990654,1
43,HotSwapCompilerPass,1,0,0,0,0,0,0,0,2,13.0,143,0.0,0
44,NameGenerator,4,7,20,0,5,4,2,2,7,13.0,152,4.75,0
45,CheckPathsBetweenNodes,8,11,41,0,11,7,0,4,7,18.5,221,3.810344827586207,0
46,MethodCompilerPass,11,5,88,1,12,6,1,1,11,12.454545454545457,180,3.5294117647058822,1
47,EmptyMessageBundle,3,0,4,1,1,0,0,1,4,11.666666666666666,35,11.666666666666666,0
48,AnalyzeNameReferences,7,5,24,1,6,4,0,3,4,12.0,123,4.392857142857143,0
49,RemoveUnusedClassProperties,5,4,54,2,10,5,1,3,2,11.6,62,1.9375,0
50,VarCheck,7,11,88,1,25,12,1,4,5,15.285714285714286,90,1.5254237288135593,1
51,CompilerInput,30,11,111,2,10,5,1,2,15,11.733333333333333,274,3.341463414634146,0
52,ConvertToDottedProperties,2,1,18,1,11,3,0,0,1,6.0,25,1.9230769230769231,0
53,FieldCleanupPass,5,3,24,1,6,3,0,1,3,10.2,264,18.857142857142858,0
54,DiagnosticGroup,6,4,19,1,3,2,0,2,11,7.833333333333333,127,6.047619047619048,0
55,SymbolTable,96,28,545,1,6,12,2,9,45,14.96875,1445,3.96978021978022,0
56,PrepareAst,10,2,62,1,5,4,0,1,7,17.2,190,3.9583333333333335,1
57,ControlStructureCheck,4,2,16,1,7,3,0,0,2,7.75,20,1.818181818181818,0
58,ClosureRewriteClass,16,16,176,1,17,10,0,6,4,16.25,56,0.5283018867924528,0
59,ReplaceMessagesForChrome,4,0,38,0,13,5,1,2,1,19.25,53,2.12,0
60,ProcessDefines,18,23,135,1,15,12,0,2,21,15.38888888888889,477,4.221238938053097,0
61,CodeChangeHandler,5,1,2,1,1,0,1,1,4,11.0,47,11.75,0
62,PreprocessorSymbolTable,9,3,23,2,4,1,0,1,2,11.22222222222222,25,1.7857142857142858,0
63,MarkNoSideEffectCalls,5,5,44,1,16,9,0,3,5,15.4,103,2.575,0
64,PrintStreamErrorManager,3,3,17,0,4,2,0,0,3,13.333333333333334,86,9.555555555555555,0
65,CodePrinter,39,25,89,0,8,4,1,6,27,12.974358974358974,590,3.6875,1
66,TypeCheck,39,50,692,2,148,21,0,6,31,15.794871794871796,1056,2.23728813559322,1
67,PeepholeFoldWithTypes,2,0,21,0,21,9,0,2,2,14.0,145,6.041666666666667,0
68,PassConfig,23,15,36,1,13,5,1,1,21,16.869565217391305,335,6.320754716981132,0
69,AnonymousFunctionNamingPolicy,1,1,1,0,1,0,0,1,5,21.0,116,58.0,0
70,AbstractPeepholeOptimization,13,1,22,0,6,3,0,1,14,17.076923076923077,316,15.8,0
71,RenamePrototypes,15,14,110,1,13,8,0,5,15,15.8,471,4.572815533980583,1
72,RhinoErrorReporter,13,8,44,1,4,2,0,2,2,9.384615384615383,55,2.037037037037037,0
73,NameReferenceGraph,33,17,83,1,6,4,0,3,10,12.87878787878788,383,5.319444444444445,0
74,UnreachableCodeElimination,8,4,67,2,9,7,0,5,2,14.0,231,4.125,1
75,ReplaceCssNames,4,10,69,1,20,9,1,3,2,11.5,240,4.8,0
76,ObjectPropertyStringPostprocess,2,1,27,1,15,4,0,2,1,6.0,52,3.0588235294117645,0
77,DefinitionSite,0,5,0,0,0,0,0,0,1,0.0,24,4.8,0
78,GroupVariableDeclarations,6,1,44,2,16,8,0,2,2,10.5,240,8.0,0
79,Strings,3,0,11,0,5,2,0,3,4,22.33333333333333,441,44.1,0
80,CheckRequiresForConstructors,9,7,78,1,21,7,0,3,3,12.333333333333334,72,1.411764705882353,0
81,ScopeCreator,1,0,0,0,0,0,0,0,2,11.0,51,0.0,0
82,MemoizedScopeCreator,7,2,23,2,4,2,0,1,3,14.857142857142858,95,5.9375,0
83,GatherRawExports,4,3,19,1,5,4,0,3,1,13.5,25,1.7857142857142858,0
84,ExpressionDecomposer,26,8,217,0,19,10,1,4,27,19.0,974,5.797619047619048,0
85,CompilerPass,1,0,0,0,0,0,0,0,2,7.0,88,0.0,0
86,JSModuleGraph,18,6,139,1,16,12,0,3,19,17.0,675,6.026785714285714,0
87,InlineFunctions,74,31,346,1,15,11,1,4,33,15.27027027027027,549,2.048507462686567,1
88,CompilationLevel,6,0,20,0,40,1,1,0,8,29.33333333333333,205,2.4404761904761907,0
89,ShadowVariables,7,7,72,1,13,9,0,4,3,8.285714285714286,115,1.8852459016393444,0
90,GlobalNamespace,69,39,224,1,63,19,1,8,42,13.115942028985508,1431,3.857142857142857,1
91,ClosureOptimizePrimitives,4,2,35,1,11,4,0,3,6,14.75,80,2.962962962962963,0
92,FunctionTypeBuilder,48,38,244,1,12,14,1,5,27,17.4375,672,2.896551724137931,1
93,DotFormatter,12,8,93,0,17,5,0,2,8,9.5,239,2.914634146341464,0
94,VariableRenamingPolicy,0,0,0,0,0,0,0,0,4,0.0,26,0.0,0
95,CrossModuleCodeMotion,11,11,113,1,10,9,0,10,12,13.727272727272728,227,2.4408602150537635,0
96,JSSourceFile,10,2,20,1,1,0,0,1,1,10.6,36,3.0,0
97,ComposeWarningsGuard,9,8,34,2,7,4,0,3,3,9.666666666666666,96,2.2857142857142856,0
98,VariableReferenceCheck,4,6,50,1,30,16,0,0,3,10.5,113,3.054054054054054,0
99,ReplaceMessages,8,3,100,0,14,6,2,4,7,19.0,432,6.084507042253521,0
100,CleanupPasses,9,5,18,1,6,4,0,1,2,11.444444444444445,56,3.111111111111111,0
101,InlineVariables,26,8,247,1,11,10,1,7,24,17.46153846153846,506,3.1625,1
102,ProcessCommonJSModules,13,12,117,1,8,4,1,1,11,14.23076923076923,212,3.3125,1
103,SanityCheck,5,4,32,1,8,3,2,2,4,17.0,91,3.64,0
104,SuppressDocWarningsGuard,2,2,17,0,15,10,0,2,3,8.0,31,1.7222222222222223,0
105,PeepholeSubstituteAlternateSyntax,50,10,637,0,38,20,0,19,37,19.24,981,1.897485493230174,1
106,AstChangeProxy,7,1,24,0,13,4,0,1,9,13.285714285714286,74,3.363636363636364,0
107,DiagnosticGroupWarningsGuard,4,3,10,0,5,3,0,2,1,7.0,13,1.3,0
108,JqueryCodingConvention,3,3,15,0,2,0,0,1,1,17.666666666666668,8,1.1428571428571428,0
109,InferJSDocInfo,5,2,58,1,25,13,0,4,3,15.8,190,3.9583333333333335,0
110,SpecializeModule,28,14,137,1,13,4,0,5,32,21.607142857142858,1470,13.61111111111111,0
111,SideEffectsAnalysis,44,21,115,1,14,6,1,9,42,15.590909090909092,1355,9.963235294117649,0
112,AmbiguateProperties,28,23,209,1,17,8,1,3,26,12.25,543,3.7448275862068967,1
113,CodingConvention,37,13,42,0,3,1,0,2,46,20.7027027027027,1031,51.55,0
114,SourceFile,46,15,106,2,9,7,1,5,22,11.76086956521739,473,4.113043478260869,1
115,LineNumberCheck,4,3,13,2,4,3,0,1,1,10.25,26,2.0,0
116,SpecializationAwareCompilerPass,1,0,1,0,0,0,0,0,1,20.0,21,0.0,0
117,OptimizeCalls,3,2,6,1,4,2,0,1,1,7.0,36,5.142857142857143,0
118,CrossModuleMethodMotion,4,10,53,1,22,10,0,1,6,10.25,88,2.75,1
119,Compiler,172,67,751,1,21,18,3,6,102,14.02906976744186,1625,2.386196769456681,1
120,NodeNameExtractor,1,2,27,0,18,5,0,11,2,7.0,101,5.315789473684211,0
121,TypedCodeGenerator,5,0,104,0,30,15,0,6,3,16.4,41,0.5942028985507246,0
122,TypeInferencePass,8,6,31,1,5,0,0,1,3,8.875,54,2.571428571428572,0
123,SyntheticAst,5,4,9,1,3,0,1,1,1,10.8,13,1.3,0
124,CombinedCompilerPass,12,5,28,2,3,2,0,1,8,12.583333333333334,288,8.470588235294118,0
125,RuntimeTypeCheck,16,4,135,1,5,5,0,5,7,13.5,343,4.132530120481928,1
126,VariableMap,14,3,58,0,8,3,2,2,13,11.571428571428571,160,3.26530612244898,0
127,MustBeReachingVariableDef,16,7,128,1,30,14,0,8,8,12.5,316,2.8990825688073394,1
128,StripCode,20,8,139,1,17,6,0,5,21,25.05,950,7.983193277310924,0
129,TransformAMDToCJSModule,11,8,120,1,27,9,0,6,10,15.363636363636363,168,2.1538461538461537,0
130,PeepholeCollectPropertyAssignments,9,0,96,0,19,9,1,7,1,17.555555555555557,43,0.4623655913978494,0
131,CheckProvides,5,7,37,1,8,5,0,0,1,11.4,8,0.25,0
132,ScopedAliases,21,24,168,1,14,14,0,2,4,12.904761904761903,82,0.7192982456140351,1
133,JsMessage,44,22,96,1,56,4,0,3,37,8.977272727272727,877,4.299019607843137,0
134,ConcreteType,79,21,206,1,5,5,0,6,69,11.746835443037977,1130,6.384180790960452,0
135,CheckLevel,1,0,0,0,1,0,0,1,1,4.0,41,41.0,0
136,GatherSideEffectSubexpressionsCallback,16,5,99,1,9,7,1,7,15,22.5625,374,5.267605633802817,0
137,NodeIterators,12,5,65,1,16,10,1,5,10,8.416666666666666,228,3.6774193548387095,0
138,PureFunctionIdentifier,44,24,306,1,17,15,1,7,37,15.227272727272728,652,2.151815181518152,1
139,CallGraph,39,19,132,1,6,7,1,3,43,18.512820512820515,1378,9.50344827586207,0
140,CustomPassExecutionTime,0,0,0,0,0,0,0,0,1,0.0,13,0.0,0
141,LoggerErrorManager,2,2,18,0,6,2,0,0,3,9.5,45,3.4615384615384617,0
142,CheckAccessControls,24,20,251,2,6,13,0,5,19,19.041666666666668,488,3.1082802547770703,1
143,NameAnalyzer,63,37,555,1,7,15,2,9,88,14.238095238095235,2034,4.346153846153846,1
144,PerformanceTracker,14,23,107,1,46,6,1,2,7,13.0,70,0.5035971223021583,0
145,SimpleFunctionAliasAnalysis,4,2,30,0,8,4,0,1,5,14.5,109,5.45,0
146,CheckMissingGetCssName,6,6,37,1,9,5,0,4,4,14.833333333333334,76,3.3043478260869565,0
147,CssRenamingMap,6,0,4,1,1,0,0,1,1,5.5,10,5.0,0
148,ErrorPass,1,2,3,1,1,0,0,0,1,7.0,8,2.0,0
149,SourceInformationAnnotator,2,2,20,0,14,5,0,0,1,10.0,70,3.888888888888889,0
150,MoveFunctionDeclarations,3,2,22,2,7,3,0,1,1,8.666666666666666,66,4.125,0
151,StrictWarningsGuard,2,2,5,0,3,1,0,2,1,8.0,13,3.25,0
152,NameReferenceGraphConstruction,27,8,226,1,23,13,1,6,13,18.666666666666668,209,1.1875,0
153,ExportTestFunctions,6,4,54,1,13,9,0,2,4,16.833333333333332,139,4.483870967741935,0
154,AstValidator,66,1,391,1,34,3,1,18,1,17.227272727272727,18,0.0509915014164305,0
155,ChainCalls,6,11,50,1,25,14,0,12,4,8.333333333333334,39,0.8125,0
156,InlineSimpleMethods,16,2,76,0,17,8,0,4,13,15.0625,313,5.305084745762712,0
157,MaybeReachingVariableUse,12,3,76,1,32,10,0,7,7,13.25,349,5.369230769230769,1
158,PeepholeReplaceKnownMethods,17,2,297,0,28,18,0,13,17,19.352941176470587,195,0.6914893617021277,1
159,DevirtualizePrototypeMethods,13,2,141,2,23,11,1,12,10,16.923076923076923,398,3.7196261682242993,1
160,TightenTypes,65,41,550,1,34,25,1,6,53,14.461538461538462,1102,2.668280871670702,0
161,CreateSyntheticBlocks,6,10,54,1,13,7,0,7,8,11.166666666666666,93,2.0217391304347827,0
162,NodeTraversal,47,14,174,1,12,4,0,3,49,12.51063829787234,729,4.55625,1
163,PhaseOptimizer,20,23,69,1,15,10,1,2,19,11.6,304,2.895238095238095,0
164,CheckMissingReturn,10,5,47,1,7,4,0,5,6,12.3,130,4.0625,0
165,CheckDebuggerStatement,2,2,6,1,2,1,0,0,1,6.0,40,10.0,0
166,ErrorHandler,1,0,0,0,0,0,0,0,2,6.0,38,0.0,0
167,InlineCostEstimator,9,6,11,0,4,1,0,1,5,9.22222222222222,71,5.071428571428571,1
168,IgnoreCajaProperties,2,2,34,1,9,2,0,0,1,6.0,77,6.416666666666667,0
169,DefinitionProvider,1,0,0,0,0,0,0,0,2,26.0,46,0.0,0
170,AnonymousFunctionNamingCallback,5,1,29,0,9,5,0,0,5,13.2,97,5.705882352941177,0
171,AliasStrings,11,22,86,1,19,8,0,3,17,18.63636363636364,451,4.849462365591398,0
172,DisambiguateProperties,67,22,379,1,10,11,0,5,47,16.029850746268657,1007,3.436860068259385,1
173,CollapseAnonymousFunctions,4,1,40,1,13,4,0,3,1,10.75,42,1.68,0
174,WhitelistWarningsGuard,18,7,83,1,6,6,1,2,17,14.444444444444445,326,5.52542372881356,0
175,AstParallelizer,13,10,50,0,12,3,0,4,6,10.307692307692308,250,5.813953488372093,0
176,ErrorManager,8,0,0,0,0,0,0,0,9,12.25,99,0.0,0
177,DefinitionsRemover,25,9,99,0,16,8,1,8,18,10.72,245,2.8488372093023258,0
178,OptimizeArgumentsArray,7,7,61,2,16,10,0,4,5,10.571428571428571,127,2.54,0
179,VariableNameGenerator,1,2,3,0,2,1,0,1,1,14.0,14,3.5,0
180,LinkedFlowScope,19,12,120,1,4,10,1,8,14,12.421052631578949,254,2.2882882882882885,0
181,ConstCheck,4,3,36,1,17,9,0,1,4,8.25,46,2.0,0
182,MessageBundle,3,0,3,0,0,0,0,0,4,11.666666666666666,119,0.0,0
183,BasicErrorManager,12,8,25,1,20,13,0,13,4,10.916666666666666,127,2.760869565217391,0
184,DeadAssignmentsElimination,11,3,140,2,34,16,0,11,5,16.90909090909091,285,2.394957983193277,1
185,Scope,59,16,109,2,2,2,0,3,52,11.101694915254235,802,7.495327102803738,1
186,PassFactory,4,2,0,0,1,0,0,1,6,10.0,119,23.8,0
187,Denormalize,6,2,43,1,23,9,0,4,2,11.333333333333334,77,2.40625,0
188,ReferenceCollectingCallback,49,18,158,1,8,4,0,4,41,15.142857142857142,700,5.147058823529412,1
189,NameAnonymousFunctionsMapped,6,10,25,1,6,3,0,2,3,12.333333333333334,125,5.434782608695652,0
190,JsMessageVisitor,25,30,230,1,45,13,9,7,27,21.12,1017,4.9609756097560975,0
191,OptimizeParameters,24,6,142,2,15,8,0,8,13,17.708333333333332,278,1.9857142857142855,0
192,CodeConsumer,34,3,67,0,6,7,0,1,11,12.205882352941176,252,3.36,1
193,TypedScopeCreator,55,33,758,1,20,15,0,9,48,16.763636363636362,1509,3.085889570552147,1
194,RenameVars,17,26,119,1,26,12,1,6,26,12.705882352941176,386,2.859259259259259,1
195,ProcessTweaks,22,30,142,1,17,11,1,4,13,18.227272727272727,296,2.3125,0
196,FunctionInjector,27,12,173,0,9,10,4,6,33,15.962962962962964,778,4.497109826589595,1
197,CheckLevelLegacy,0,0,0,0,0,0,0,0,1,0.0,38,0.0,0
198,ControlFlowGraph,8,2,20,1,8,2,0,7,16,17.0,309,14.714285714285714,0
199,ExpandJqueryAliases,14,14,278,1,14,15,0,4,6,17.928571428571427,184,1.2026143790849673,0
200,ProcessClosurePrimitives,36,34,424,1,31,17,0,5,30,18.194444444444443,559,1.850993377483444,1
201,CheckGlobalThis,4,3,41,1,18,11,0,6,4,13.75,222,6.727272727272728,1
202,WarningsGuard,5,1,2,1,1,0,0,1,5,7.8,292,58.4,0
203,FlowSensitiveInlineVariables,18,13,146,2,13,16,0,17,9,8.833333333333334,310,2.6271186440677967,1
204,NameAnonymousFunctions,5,6,14,1,4,0,0,1,3,14.2,100,9.090909090909092,0
205,SimpleRegion,3,3,3,1,1,0,0,1,1,19.0,2,0.3333333333333333,0
206,CheckGlobalNames,9,9,85,1,10,9,0,6,5,18.22222222222222,113,1.8833333333333333,0
207,InvocationsCallback,2,0,9,0,7,3,0,3,2,5.0,56,8.0,0
208,PropertyRenamingPolicy,0,0,0,0,0,0,0,0,5,0.0,52,0.0,0
209,SourceExcerptProvider,7,0,7,0,1,0,0,1,10,8.428571428571429,174,87.0,0
210,AbstractMessageFormatter,6,4,9,1,4,1,0,3,2,13.5,20,1.5384615384615383,0
211,ExtractPrototypeMemberDeclarations,9,15,76,1,7,4,0,2,9,13.88888888888889,367,6.553571428571429,0
212,Result,0,13,0,0,0,0,0,0,1,0.0,2,0.1428571428571428,0
213,CodeGenerator,32,8,515,0,335,50,7,4,16,15.0625,291,0.5398886827458256,1
214,ReplaceStrings,19,21,134,1,10,8,0,3,17,14.63157894736842,447,3.8205128205128207,0
215,ShowByPathWarningsGuard,2,2,8,0,1,0,0,1,2,8.0,33,3.3,0
216,CollapseProperties,23,8,292,1,12,10,0,2,23,25.30434782608696,1339,6.227906976744186,1
217,FunctionArgumentInjector,17,6,131,2,17,9,0,3,14,17.470588235294116,552,4.717948717948718,0
218,TypeInference,52,17,558,0,40,14,0,3,21,18.82692307692308,658,1.55188679245283,1
219,RemoveUnusedPrototypeProperties,4,5,18,1,14,7,0,3,4,20.0,87,2.71875,0
220,RecordFunctionInformation,5,4,42,1,7,2,0,2,5,9.0,105,4.565217391304348,0
221,LightweightMessageFormatter,6,2,54,1,20,6,0,4,3,10.833333333333334,56,1.0566037735849056,1
222,RemoveUnusedNames,2,3,14,1,6,3,0,0,3,14.5,37,3.7,0
223,CodingConventions,68,2,131,1,13,7,1,5,4,20.794117647058822,81,1.0253164556962024,0
224,GlobalVarReferenceMap,11,6,73,1,5,3,0,2,9,17.181818181818183,268,4.32258064516129,0
225,InlineObjectLiterals,11,4,176,1,24,14,0,8,10,16.363636363636363,233,2.219047619047619,1
226,FunctionToBlockMutator,15,3,132,1,11,6,0,2,15,19.933333333333334,380,3.917525773195876,1
227,Normalize,30,15,270,1,9,8,1,2,20,15.233333333333333,673,3.398989898989899,1
228,JSError,16,8,38,0,17,8,0,9,21,8.0,372,7.591836734693878,0
229,WarningLevel,4,0,15,0,18,1,1,0,4,19.75,55,1.375,0
230,AliasKeywords,30,15,106,1,4,3,1,3,30,17.166666666666668,673,8.855263157894736,0
231,NodeUtil,167,16,892,1,13,18,2,42,141,16.023952095808383,3133,3.858374384236453,1
232,SourceMap,15,5,44,0,10,5,0,3,4,11.133333333333333,49,1.4411764705882353,1
233,InlineProperties,13,6,121,1,9,8,0,3,5,16.53846153846154,125,1.6666666666666667,0
234,CompilerOptions,217,170,273,2,9,4,1,4,221,21.027649769585253,2694,6.820253164556962,1
235,ReorderConstantExpression,1,0,17,0,8,3,0,1,1,15.0,31,3.875,0
236,GoogleJsMessageIdGenerator,5,1,15,1,68,2,0,1,6,9.6,186,2.1379310344827585,0
237,ErrorFormat,5,0,10,0,2,0,0,1,2,11.0,8,1.0,0
238,SourceAst,5,0,5,0,0,0,0,0,6,10.8,125,0.0,0
239,GenerateExports,3,4,58,1,20,8,0,1,3,10.0,55,1.896551724137931,0
240,GoogleCodingConvention,7,4,27,0,7,3,0,3,8,13.285714285714286,212,12.470588235294118,0
241,AliasExternals,25,25,209,1,19,10,0,3,36,14.12,1005,7.8515625,0
242,CheckSuspiciousCode,5,2,30,0,7,2,0,0,1,12.2,32,1.8823529411764703,0
243,PeepholeRemoveDeadCode,28,0,377,0,36,16,0,12,27,16.75,448,1.413249211356467,0
244,InstrumentFunctions,8,12,102,1,13,8,0,2,7,10.25,376,4.530120481927711,0
245,MakeDeclaredNamesUnique,40,19,165,1,10,4,0,2,22,14.825,342,2.533333333333333,1
246,ReplaceIdGenerators,16,15,140,1,16,9,0,5,2,13.25,27,0.2327586206896551,0
247,CommandLineRunner,17,61,163,1,19,7,1,3,8,14.058823529411764,381,2.9307692307692306,1
248,ExternExportsPass,20,13,164,1,9,6,0,5,21,16.75,329,2.911504424778761,0
249,MessageFormatter,2,0,0,0,0,0,0,0,3,12.0,25,0.0,0
250,SyntacticScopeCreator,8,7,91,1,16,6,0,5,8,15.5,127,1.8676470588235292,1
251,ExploitAssigns,6,0,63,0,26,8,0,8,6,16.833333333333332,206,3.433333333333333,1
252,ClosureCodingConvention,25,4,136,0,18,9,0,7,11,20.88,193,1.838095238095238,1
253,DependencyOptions,9,5,7,1,3,0,0,1,6,18.22222222222222,350,25.0,0
254,TypeValidator,36,20,249,0,4,10,0,5,27,16.583333333333332,1079,7.29054054054054,1
255,SimpleDefinitionFinder,16,5,140,2,16,17,0,5,10,16.6875,239,2.0782608695652174,0
256,JsAst,6,6,30,1,9,1,0,1,1,9.833333333333334,8,0.3478260869565217,1
257,RenameProperties,14,20,154,1,29,12,0,3,17,12.642857142857142,543,3.9635036496350367,0
258,Warning,4,2,4,0,1,0,0,1,1,8.0,8,2.0,0
259,AntErrorManager,2,2,12,0,6,1,0,0,1,9.5,14,1.2727272727272727,0
260,CompileTask,35,20,141,0,7,5,2,1,29,15.114285714285714,388,2.5695364238410594,0
261,ErrorLevel,0,0,0,0,0,0,0,0,1,0.0,13,0.0,0
262,SecureCompiler,10,10,30,0,13,3,1,2,6,12.2,168,3.9069767441860463,0
263,Writer,40,0,319,0,152,4,1,2,4,13.625,90,0.2452316076294278,0
264,Validator,50,7,155,0,80,4,0,1,3,16.9,101,0.505,0
265,JsonMLAst,9,8,26,1,9,4,1,3,3,12.11111111111111,75,1.973684210526316,0
266,Reader,89,12,423,0,97,6,3,4,31,16.685393258426966,502,0.9920948616600792,0
267,JsonMLUtil,11,5,54,0,17,8,0,6,8,11.818181818181818,232,3.267605633802817,0
268,JsonML,22,3,79,0,25,7,1,1,22,11.272727272727272,349,5.057971014492754,0
269,TagType,0,0,0,0,0,0,0,0,1,0.0,13,0.0,0
270,JsonMLException,0,1,0,0,0,0,0,0,1,0.0,15,15.0,0
271,NodeUtil,4,0,13,0,4,1,0,2,5,16.75,94,13.428571428571429,1
272,JsonMLError,2,5,6,0,1,0,0,1,6,4.0,35,2.9166666666666665,0
273,TagAttr,3,2,6,0,1,0,0,1,1,6.0,15,2.5,0
274,UnionFind,7,0,7,0,0,0,0,0,8,8.714285714285714,248,0.0,0
275,LinkedDirectedGraph,66,13,179,2,5,4,1,3,9,13.045454545454543,125,1.0964912280701755,0
276,DiGraph,21,0,25,0,1,0,0,1,9,16.19047619047619,188,94.0,0
277,LatticeElement,0,0,0,0,0,0,0,0,1,0.0,3,0.0,0
278,GraphReachability,3,6,20,1,5,2,0,2,3,9.333333333333334,76,4.470588235294118,0
279,FixedPointGraphTraversal,5,2,31,0,7,4,0,1,7,15.0,203,13.533333333333331,0
280,Graph,29,7,57,1,2,2,1,2,29,12.862068965517242,706,19.61111111111111,0
281,GraphPruner,2,1,38,0,14,9,0,1,1,7.5,89,4.238095238095238,0
282,Annotatable,2,0,0,0,0,0,0,0,3,13.0,42,0.0,0
283,LinkedUndirectedGraph,53,11,140,2,5,5,1,4,5,12.50943396226415,70,0.6862745098039216,0
284,SubGraph,2,0,0,0,0,0,0,0,3,11.0,50,0.0,0
285,GraphNode,1,0,0,0,0,0,0,0,2,8.0,29,0.0,0
286,UndiGraph,6,0,3,0,0,0,0,0,4,22.166666666666668,79,0.0,0
287,GraphvizGraph,11,0,0,0,0,0,0,0,14,9.636363636363637,204,0.0,0
288,AdjacencyGraph,5,0,0,0,0,0,0,0,6,11.0,129,0.0,0
289,StandardUnionFind,13,7,55,2,11,3,0,7,12,8.76923076923077,257,5.468085106382978,0
290,Annotation,0,0,0,0,0,0,0,0,1,0.0,13,0.0,0
291,GraphColoring,7,4,32,1,8,3,0,2,5,8.571428571428571,214,7.925925925925926,0
292,CharRanges,18,3,47,0,24,11,2,4,5,8.61111111111111,196,1.2980132450331126,0
293,RegExpTree,123,34,507,0,184,49,5,31,24,12.1869918699187,340,0.5466237942122186,0
294,CaseCanonicalize,4,6,213,0,7,4,0,3,8,16.25,502,18.59259259259259,0
295,TestErrorReporter,5,4,9,1,3,1,0,1,3,14.4,53,4.818181818181818,0
